token,frequency
are looking for,223
an english restaurant,223
in the £20-25,222
serving chinese food,222
in the less,222
is a moderate,222
is highly rated,221
offers indian food,221
found in the,221
shop it is,221
there 's a,221
they are not,220
city center near,220
chinese coffee shop,220
with a 1,219
area there is,218
a one star,218
friendly is an,218
food restaurant in,218
and it has,218
food restaurant located,218
riverside it has,217
friendly restaurant with,217
with high customer,216
riverside area there,216
food in riverside,216
family friendly place,216
city centre the,215
english food with,215
children friendly coffee,215
crown plaza hotel,214
but it is,213
serving fast food,213
coffee shop has,212
is a riverside,212
it is family-friendly,212
a pub located,211
in riverside with,211
friendly and serves,211
the city near,211
family friendly it,211
is 3 out,210
you are looking,209
than 20 pounds,208
cheap fast food,208
with a 3,207
area near it,207
shop providing chinese,207
and is rated,206
near it serves,206
and is children,206
located close to,204
and a high,204
£20-25 is a,203
you will find,202
rating is 3,202
riverside and is,201
near to the,200
city center is,200
area of riverside,200
offers chinese food,199
friendly and located,199
coffee shop offering,198
river is a,198
city centre has,198
food has a,197
is a place,197
shop providing indian,197
kids friendly is,196
and located near,196
restaurant has a,196
prices is a,196
price range located,196
in riverside there,196
the restaurant is,196
an italian coffee,195
near by the,195
be found in,195
the riverside there,195
is it is,194
chinese food at,194
riverside has a,194
the prices are,193
average is a,193
£30 it is,193
is a 5,192
restaurant called it,192
a pub serving,192
indian food with,192
is a high-priced,192
moderately priced and,192
near the and,191
is cheap and,191
pub in riverside,191
that serves fast,191
it 's located,191
coffee shop and,190
friendly japanese restaurant,190
is a child-friendly,190
customer rating with,188
the £20-25 price,188
kid friendly pub,187
is in riverside,187
range is high,187
is a kid-friendly,186
customer rating but,186
next to is,185
rating located in,185
shop that offers,183
shop near the,183
5 is an,183
a five star,182
the is an,182
friendly restaurant located,182
area with a,182
price range in,181
is located at,181
children friendly pub,181
£30 price range,181
indian food is,181
the whole family,181
rating 1 out,181
food near the,181
restaurant with an,180
food located near,179
close to is,179
food for a,178
if you 're,178
not a family-friendly,178
a high rating,178
a pub with,178
with low customer,178
offers japanese food,177
range with a,177
a pub near,177
pub is a,176
is family-friendly and,176
friendly italian restaurant,176
french food with,176
moderately priced restaurant,175
offers italian food,175
an average rated,175
a 5 star,174
coffee shop offers,174
family friendly environment,174
rating located near,174
food that is,174
chinese food with,173
at a high,173
has average customer,173
a restaurant located,172
family friendly with,171
a pub in,171
fast food with,171
range is moderate,170
area it has,170
the there is,169
it 's a,169
and it 's,169
in riverside and,168
friendly has a,168
price range near,168
friendly restaurant is,168
chinese restaurant with,167
offers english food,166
child friendly pub,166
the riverside with,166
it serves english,166
than £30 price,166
rating 3 out,166
costs more than,165
5 rating is,165
a restaurant in,165
in the more,165
at the city,165
with average customer,164
english food at,164
customer ratings are,164
located near to,164
moderately priced coffee,164
is rated 3,164
family friendly fast,164
a three star,163
indian food for,163
in riverside area,163
the more than,163
are located in,163
is is a,162
friendly located near,162
japanese food with,162
star coffee shop,161
range more than,161
which has a,161
is rated 5,160
japanese restaurant with,160
rating 5 out,160
is an adult,159
is rated 1,159
a pub providing,159
and have a,159
italian food at,158
a moderate priced,158
than 30 pounds,157
range and has,157
in a family,156
japanese food for,156
has high customer,156
italian restaurant located,156
the family friendly,156
called that serves,156
fast food near,156
and an average,155
and located in,155
italian food with,155
fast food at,155
for more than,155
family friendly japanese,155
food restaurant near,155
of 5 with,154
the riverside its,154
offers french food,154
the river and,154
located near a,153
friendly in the,153
food restaurant is,153
pub is located,153
called in the,152
a japanese pub,152
is a great,151
low is a,151
prices less than,151
it 's not,151
food and a,151
an english coffee,151
is near it,150
it is kids,150
near that is,150
a restaurant serving,150
food it 's,149
food they are,149
is an inexpensive,149
it serves french,149
in riverside that,149
customers is a,149
range it has,149
chinese restaurant in,149
of 5 serves,148
that is kid,148
of 5 rated,148
a restaurant near,148
customers rate it,148
restaurant called that,148
serve english food,147
restaurant that has,146
place with a,146
price range more,146
called that is,146
customer rating 1,146
and coffee shop,145
5 in the,145
rating coffee shop,145
ratings and is,145
riverside its customer,145
customer rating for,145
it is moderately,145
family friendly located,145
a french pub,145
restaurant that offers,143
japanese restaurant in,143
customer rating serves,143
pub near the,143
shop near it,143
riverside near there,143
5 star rating,142
food restaurant that,142
food is located,142
city centre called,142
near that serves,142
shop called it,142
yes it is,142
italian restaurant with,141
friendly restaurant in,141
centre and is,141
kid friendly it,141
moderately priced fast,141
to the river,141
rating is located,140
has been rated,140
food restaurant called,140
riverside coffee shop,140
is average is,140
price range the,140
friendly pub that,140
french food at,140
customer rating 3,140
rating with a,139
friendly french restaurant,139
family friendly italian,139
city centre its,139
are located near,139
of £20-25 is,138
the it has,138
suitable for families,138
city centre they,138
near the there,138
near to is,138
for the whole,138
friendly chinese restaurant,138
have a customer,138
city centre serves,138
friendly restaurant near,137
a 3 star,137
called is located,137
it serves japanese,137
place to eat,137
its price range,136
it 's near,136
a non family-friendly,136
you 're looking,136
of 5 star,135
are in the,135
kid friendly with,135
pub that provides,135
this coffee shop,135
located near there,135
to the is,134
family friendly there,134
food is an,134
chinese food for,134
food near in,134
by customers is,134
the riverside that,133
price range but,133
friendly it has,133
children friendly with,133
italian restaurant in,133
centre is an,133
riverside is an,133
food is served,133
customer rating 5,133
it can be,133
the river near,132
is a one,132
located near with,132
and the customer,132
family friendly atmosphere,132
not suitable for,132
friendly located in,132
a family-friendly pub,132
a high rated,132
're looking for,131
named is a,131
that provides indian,131
restaurant near is,131
high priced restaurant,131
prices it is,131
called located near,131
high is a,131
the riverside the,130
price range there,130
french food for,130
japanese restaurant located,130
indian restaurant in,130
it is also,130
friendly restaurant called,129
the city is,129
it serves italian,129
expensive coffee shop,129
family friendly the,129
riverside and has,128
chinese food restaurant,128
serves moderately priced,128
center is a,128
indian restaurant with,127
range there is,127
an italian pub,127
located north of,127
and serves english,127
japanese food at,127
with a cheap,127
is a 3,126
in city center,126
has a cheap,126
have a high,125
food the price,125
moderately priced italian,124
a chinese food,124
riverside area the,124
family friendly indian,123
riverside area that,123
italian restaurant near,123
with moderate prices,123
is low is,123
is called is,123
range in the,122
it has low,122
centre near there,122
5 located near,122
near located in,122
family friendly french,122
shop called that,122
near the the,122
is by the,122
is situated near,121
centre area near,121
kids friendly restaurant,121
priced family friendly,121
cheap english food,121
range is £20-25,121
the average price,121
priced chinese food,121
near located near,121
french restaurant with,120
in riverside has,120
family friendly near,120
children friendly it,120
they serve english,120
riverside area has,119
shop has a,119
located riverside near,119
cheap indian food,119
have a low,119
and can be,119
a cheap pub,119
that is children,119
and is kids,119
medium price range,119
near coffee shop,119
called with a,118
higher price range,118
pub near in,118
and is family-friendly,118
average rating is,118
is called and,118
are not family-friendly,118
centre near and,118
is high is,118
japanese restaurant called,118
friendly but has,117
located near on,117
priced italian food,117
family friendly chinese,117
£30 and is,117
food with an,117
japanese restaurant near,117
cheap chinese food,117
priced english food,116
5 is located,116
shop that has,116
you can eat,116
friendly is located,116
have an average,116
friendly indian restaurant,115
priced is a,115
of 5 for,115
and a low,115
the in riverside,114
a french food,114
italian food near,114
5 rating and,114
highly rated coffee,114
one out of,113
by its customers,113
customers have rated,113
family-friendly fast food,113
price range its,113
rated by customers,113
price is a,113
a chinese coffee,113
shop called is,112
french restaurant in,112
situated in the,112
where you can,112
city centre a,112
centre has a,112
this restaurant is,112
near it 's,112
the riverside has,112
fast food for,111
restaurant that provides,111
£20 and is,111
is on the,111
friendly pub serving,111
provides fast food,111
friendly pub located,110
and serves french,110
english food for,110
friendly pub in,110
food can be,110
a low cost,110
the river it,110
is close to,110
french restaurant near,110
near is the,109
price range a,109
indian food restaurant,109
shop with an,109
child friendly it,109
located near near,109
restaurant is not,109
is high priced,109
high priced coffee,109
moderately priced chinese,109
price it is,108
but it has,108
be found at,108
centre its customer,108
range of 20-25,107
and in the,107
is n't family-friendly,107
an indian coffee,107
the price is,107
food on the,107
it is cheap,107
is served at,107
with high prices,106
customer rating coffee,106
is a five,106
friendly pub with,106
the pub is,106
of £20-25 and,106
friendly pub near,106
coffee shop by,106
range its customer,106
french restaurant located,106
that also serves,106
shop which serves,106
is located next,106
that provides chinese,105
family friendly but,105
children is a,105
5 stars is,105
the crown plaza,105
shop serving indian,105
and kid friendly,105
restaurant with high,104
it has average,104
£20-25 it is,104
rating but is,104
in riverside the,104
is a children-friendly,104
coffee shop on,104
star family friendly,103
french food near,103
is high and,103
of 5 but,103
centre area is,103
food and coffee,103
of 5 coffee,103
5 coffee shop,103
it is n't,102
rating in riverside,102
located near that,102
riverside near with,102
located along the,102
stars is a,102
prices range from,102
called has a,101
centre and has,101
shop that provides,101
italian restaurant that,101
costs less than,101
located near serves,101
not family-friendly it,101
is coffee shop,101
centre near to,101
italian food for,101
restaurant on the,101
english food near,101
friendly restaurant serving,101
that is child,101
child friendly with,101
a cheap italian,100
kid friendly the,100
at a price,100
french food restaurant,100
are family friendly,100
in riverside serves,100
prices and a,100
three out of,100
food and it,99
which is located,99
pounds is a,99
star rating is,99
priced kid friendly,99
is a 1,99
in riverside called,99
average rating and,99
italian restaurant is,99
highly rated by,98
moderately priced indian,98
near is it,98
kid friendly place,98
near that has,98
price range that,98
city is a,98
and is moderately,98
riverside area serves,98
pub that offers,98
area is an,97
restaurant located on,97
near the price,97
mid price range,97
at less than,97
an average priced,97
pub it is,97
restaurant by the,97
to it is,97
priced italian restaurant,97
near is located,97
of city centre,97
riverside that serves,97
the is located,96
and they are,96
moderately priced is,96
rating near is,96
a 1 star,96
ratings it is,96
moderately priced pub,96
kid friendly fast,96
range located in,96
customer rating they,95
sells indian food,95
the food is,95
a cheap fast,95
city centre located,95
rating it 's,95
near crown plaza,95
customer rating has,95
moderately priced english,95
is located close,94
chinese restaurant located,94
area and is,94
is not child-friendly,94
moderate prices and,94
for a cheap,94
the fast food,94
serve french food,94
family-friendly there is,94
sells chinese food,94
it 's called,93
food at the,93
restaurant near it,93
is a three,93
shop near is,93
5 with a,93
named it is,93
kids friendly coffee,93
a low-priced restaurant,93
an expensive coffee,93
italian restaurant called,93
an english pub,93
english restaurant with,93
with prices less,93
high prices and,93
centre near with,93
english food the,93
it is situated,92
and serves italian,92
5 located in,92
not family-friendly but,92
which serves english,92
if you want,92
the riverside serves,92
are less than,91
has english food,91
friendly and the,91
pub has a,91
highly rated and,91
place in the,91
riverside in the,91
pub called is,91
pub called that,91
this is a,91
restaurant which is,91
city center and,91
price range for,91
english restaurant in,91
it is highly,91
called it serves,91
children are welcome,91
a pub named,90
kid friendly located,90
providing fast food,90
riverside near and,90
food by the,90
priced indian food,90
near the with,90
the with a,90
has chinese food,90
food for more,90
children friendly place,90
near at the,89
of 5 it,89
city center it,89
japanese restaurant is,89
rated fast food,89
located near has,89
customer ratings it,89
friendly english restaurant,89
rating of average,89
city centre offers,89
and average customer,89
located at riverside,88
star rating and,88
you can get,88
and customer rating,88
to in the,88
riverside that is,87
food its customer,87
is a good,87
a average customer,87
an expensive restaurant,87
near the crown,87
's located near,87
kid friendly near,86
the higher price,86
with cheap prices,86
rating the is,86
at low prices,86
restaurant it has,86
shop on the,86
for a family,86
restaurant named is,86
a pub which,86
shop serving japanese,86
restaurant near with,86
food place called,86
restaurant called located,86
shop serving english,86
than £20 in,85
located near riverside,85
cheap italian food,85
is a mid,85
it has high,85
near they serve,85
pub called it,85
not family-friendly the,85
in the higher,85
in the average,85
shop that also,85
city centre in,85
chinese food near,85
japanese food near,84
is moderate and,84
shop by the,84
shop serving french,84
and serves fast,84
called that has,84
5 and a,84
than £20 near,84
not recommended for,84
is located riverside,84
20 to 25,84
provides english food,84
restaurant in city,84
near and the,83
an indian food,83
called there is,83
of the river,83
which is not,83
rating and serves,83
priced restaurant that,83
it serves fast,83
a high end,83
is a sushi,83
called which serves,82
price range serves,82
families is a,82
of £20-25 it,82
the has a,82
friendly the is,82
english food restaurant,82
english food located,82
with english food,82
at moderate prices,82
one star rating,82
rated family friendly,82
food near is,82
near near the,82
in a riverside,82
non family friendly,81
received a customer,81
sells japanese food,81
serve japanese food,81
and serves japanese,81
kid friendly japanese,81
french restaurant called,81
high priced italian,81
restaurant called the,81
is not kid-friendly,80
centre it serves,80
kids friendly pub,80
near they are,80
it is an,80
riverside it serves,80
is not suitable,80
has italian food,80
with low prices,80
riverside located near,80
for under £20,80
is called it,80
friendly near is,79
the riverside called,79
french food located,79
of 5 has,79
indian food near,79
serve fast food,79
family friendly a,79
riverside close to,79
range located near,79
offering chinese food,79
located near by,79
child friendly fast,79
ratings are low,79
called which is,79
shop serving italian,79
area has a,78
for a moderate,78
wine and cheese,78
family friendly in,78
at riverside near,78
is a italian,78
a japanese food,78
food and are,78
area near there,78
at a low,78
kid friendly environment,78
5 rating it,78
and has average,78
range is an,78
moderate prices is,78
provides japanese food,78
not family-friendly there,78
and are not,78
providing english food,78
a family restaurant,77
and price range,77
priced and has,77
child friendly japanese,77
is a mid-priced,77
fast food located,77
environment is a,77
kid friendly italian,77
providing italian food,77
restaurant is an,77
five star rating,77
range coffee shop,77
prices are less,76
that is rated,76
however it is,76
provides french food,76
prices ranging from,76
are more than,76
riverside near serves,76
friendly pub called,76
italian food located,76
customer rating that,76
a great place,76
shop near that,76
food they have,76
called located in,76
the and is,75
restaurant there is,75
kid friendly there,75
price range restaurant,75
centre that serves,75
with price range,75
serve italian food,75
at more than,75
that is near,75
friendly place with,75
an english food,75
their price range,75
called and is,75
has received a,75
by customers and,75
restaurant near that,75
of 5. they,75
japanese restaurant that,74
near serves english,74
with 5 out,74
high priced pub,74
£20 to £25,74
area and has,74
is low priced,74
restaurant serving english,74
and has low,74
restaurant with low,74
the river side,74
with prices ranging,74
low prices and,74
indian food the,74
has fast food,74
at city centre,74
near is not,74
chinese food the,74
's located in,74
rating and it,74
by is a,74
coffee shop for,73
is a moderately-priced,73
near you can,73
near to it,73
named is located,73
prices are high,73
a restaurant named,73
city centre close,73
£20-25 and is,73
they serve french,73
5 and it,73
which serves japanese,73
prices in the,73
price range £20-25,73
rated average by,73
near called it,73
children friendly the,72
near the serves,72
atmosphere is a,72
than £20 but,72
an indian pub,72
centre close to,72
located near offers,72
is a kids-friendly,72
near city centre,72
family friendly english,72
children friendly fast,72
offering indian food,72
at a cheap,72
indian restaurant called,72
has moderate prices,72
shop serving chinese,72
it serves chinese,71
shop located on,71
for families is,71
pub serving italian,71
is it has,71
child friendly establishment,71
with moderate price,71
is a non-family-friendly,71
kid friendly has,71
pub on the,71
english restaurant near,71
restaurant called near,71
£20 it has,71
pub which serves,71
will find a,71
they have an,71
it serves indian,71
food place with,70
and child friendly,70
child friendly there,70
highly rated restaurant,70
the riverside in,70
has french food,70
restaurant providing chinese,70
shop with high,70
food at moderate,70
located near located,70
an adult only,70
is a medium,70
kids friendly it,70
a cheap family-friendly,70
customer rating called,70
city centre which,70
5 near is,70
is average and,70
friendly moderately priced,70
a less than,70
pub serving french,70
chinese restaurant called,70
than 20 euros,70
is which is,69
and moderately priced,69
rating and the,69
is an affordable,69
the city it,69
is situated in,69
the city that,69
near they have,69
restaurant called which,69
a family-friendly italian,69
a city centre,69
friendly with an,69
in riverside located,69
pub serving japanese,69
for a high,69
a medium price,69
to the city,69
offering fast food,69
family friendly venue,69
place is a,69
friendly japanese coffee,69
rating and are,69
average by customers,69
near the coffee,69
a non family,68
which is a,68
with japanese food,68
cheap restaurant located,68
priced restaurant located,68
family friendly has,68
french restaurant is,68
they serve japanese,68
to there is,68
near that provides,68
friendly near in,68
family-friendly and is,68
indian restaurant located,68
has japanese food,68
the river there,68
's family friendly,68
range and an,68
providing french food,68
indian restaurant is,68
friendly and it,68
and yes it,68
range is cheap,67
kid friendly but,67
outside of the,67
rating they are,67
five out of,67
a variety of,67
near and it,67
near with an,67
a chinese pub,67
they serve fast,67
friendly japanese pub,67
that has an,67
a family-friendly environment,67
high priced chinese,67
is family-friendly is,67
moderately priced french,67
children friendly near,67
a highly priced,67
family friendly serves,67
than 30 euros,67
riverside near they,67
food for under,67
their customer rating,67
near at riverside,67
near it offers,66
friendly pub is,66
is fast food,66
poor customer rating,66
rated one star,66
a cheap japanese,66
family friendly establishment,66
a cheap indian,66
place that is,66
riverside area called,66
a reasonably priced,66
rating near the,66
shop called which,66
shop serving fast,66
and are located,66
with italian food,66
prices are more,66
are not kid,66
called near the,66
child friendly the,66
priced chinese restaurant,66
customer rating restaurant,66
restaurant providing indian,66
near riverside is,65
by customers it,65
and has been,65
close to it,65
found near the,65
city centre you,65
shop that sells,65
shop in city,65
a place called,65
it 's family,65
indian restaurant near,65
this is not,65
centre area it,65
pub near that,65
riverside area located,65
named it has,65
moderately priced kid,65
rating has a,65
family-friendly it is,65
providing japanese food,65
that offers indian,65
riverside near that,65
pub by the,64
customers it is,64
of five stars,64
at riverside is,64
kid friendly french,64
food restaurant it,64
french restaurant that,64
is expensive and,64
provides italian food,64
rating the price,64
£30 there is,64
priced indian restaurant,64
japanese food restaurant,64
indian restaurant that,64
restaurant located by,64
pub near is,64
food but is,64
cuisine is a,64
a cheap place,64
customer rating provides,64
customer service rating,64
the name of,64
are kid friendly,64
chinese restaurant is,64
priced japanese food,64
chinese restaurant that,64
coffee shop the,64
called it 's,64
it is expensive,64
price range coffee,64
price range they,64
in riverside they,64
based in the,64
can find it,63
one star restaurant,63
and serves indian,63
have rated it,63
that offers fast,63
a medium priced,63
than £30 the,63
centre that is,63
river it is,63
shop called near,63
price coffee shop,63
low rating is,63
is the place,63
shop it has,63
to the riverside,63
near near is,63
to the it,63
customer rating offers,63
child friendly italian,63
a restaurant which,63
and low customer,63
for italian food,63
place to go,63
shop near with,63
family coffee shop,63
which serves italian,62
not a family,62
near and serves,62
city centre coffee,62
centre coffee shop,62
friendly french food,62
child friendly a,62
low priced restaurant,62
located near at,62
they serve italian,62
of 5 if,62
5 if you,62
that is moderately,62
which is near,62
situated near the,62
of 5. the,62
friendly and rated,62
also family friendly,62
and fast food,62
's a coffee,62
high priced fast,62
called is an,62
italian food the,62
riverside it 's,62
food the customer,62
sells english food,62
for a low,62
priced french food,62
area is the,61
with fast food,61
its prices are,61
star restaurant located,61
a family-friendly fast,61
food pub in,61
shop is not,61
food with prices,61
range of over,61
restaurant which serves,61
in a family-friendly,61
ratings are average,61
fast food establishment,61
friendly in riverside,61
named with a,61
the highly rated,61
the customer ratings,60
centre near they,60
food place near,60
has high prices,60
5 it is,60
pub near it,60
sells italian food,60
they are family,60
food called it,60
priced with a,60
cheap and family,60
in the medium,60
the medium price,60
shop named that,60
the children friendly,60
shop named is,60
child friendly place,60
three star rating,60
low rated coffee,59
friendly the price,59
english restaurant located,59
high priced english,59
friendly near the,59
rating is near,59
stars and is,59
place in riverside,59
prices and is,59
low rating and,59
located near they,59
range from £20-25,59
priced restaurant in,59
situated by the,59
burgers and fries,59
the riverside close,59
friendly and offers,59
is a nice,59
restaurant with average,59
sells french food,59
price range has,59
than £20 the,59
japanese food the,59
north of city,59
rating near in,59
near the a,59
rated is a,59
named that is,59
customers and is,59
a riverside area,59
venue with a,59
prices located near,59
can find a,59
family-friendly in the,58
£20 in the,58
in a coffee,58
food place in,58
£20 there is,58
city centre but,58
in the mid,58
riverside area offers,58
kids friendly place,58
food and drink,58
prices are moderate,58
near the pub,58
suitable for children,58
pub that has,58
kid friendly english,58
chinese restaurant near,58
average coffee shop,58
friendly and have,58
offering french food,58
child friendly environment,58
serve indian food,58
it 's in,58
and is n't,58
pub serving english,58
food the is,57
named in the,57
the it serves,57
riverside area in,57
5 the is,57
and near is,57
offering japanese food,57
called in riverside,57
1 out 5,57
food near it,57
