mr,ref,errors,incorrect slots
"request(genres[adventure, indie, point-and-click], specifier[shortest])",What do you think is the shortest indie point-and-click adventure game you ever played?,0,
"request(genres[adventure, indie, point-and-click], specifier[shortest])",Do you remember what the shortest indie point-and-click adventure game you ever played was?,0,
"request(genres[adventure, indie, point-and-click], specifier[shortest])",What's the shortest indie point and click adventure game you know of?,0,
"request(genres[adventure, indie], specifier[short])",Do you know of any short indie adventure games?,0,
"request(genres[adventure, indie], specifier[short])",Have you played any indie adventure games that were short to play through?,0,
"request(genres[adventure, indie], specifier[short])",Do you know any short indie adventure games I could pick up?,0,
"request(genres[driving/racing, simulation, sport], specifier[exciting])",What's a driving/racing sport simulator you felt was exciting?,0,
"request(genres[driving/racing, simulation, sport], specifier[exciting])",Can you suggest an exciting racing simulation sports game?,0,
"request(genres[driving/racing, simulation, sport], specifier[exciting])","Among sport racing simulators, what do you think is the most exciting one that you played lately?",0,
"request(genres[driving/racing], specifier[complicated])",What would you say is a good example of a complicated driving/racing game?,0,
"request(genres[driving/racing], specifier[complicated])",Did you get the chance to play any complicated driving/racing games?,0,
"request(genres[driving/racing], specifier[complicated])",Are there any complicated driving/racing games you know of? I'd love to try one out.,0,
"request(genres[music], specifier[cheerful])",What's a music game that you played that you thought was cheerful?,0,
"request(genres[music], specifier[cheerful])","I'm looking for a really cheerful music game, is there one you would recommend to me?",0,
"request(genres[music], specifier[cheerful])",What's a cheerful music game I should pick up?,0,
"request(genres[platformer], specifier[elaborate])",What's an elaborate platformer I could play?,0,
"request(genres[platformer], specifier[elaborate])",Are you aware of any platformers that are particularly elaborate?,0,
"request(genres[platformer], specifier[elaborate])",What platformer game do you think has the most elaborate design?,0,
"request(genres[real-time strategy, simulation], specifier[other])",What other RTS simulation games are there?,0,
"request(genres[real-time strategy, simulation], specifier[other])",What other real-time strategy simulator have you played?,0,
"request(genres[real-time strategy, simulation], specifier[other])",So what other real-time strategy simulators have you played lately?,0,
"request(genres[role-playing, shooter], specifier[well balanced])",Do you know of any well balanced shooters with role-playing elements?,0,
"request(genres[role-playing, shooter], specifier[well balanced])",Do you know of any well balanced role playing shooters?,0,
"request(genres[role-playing, shooter], specifier[well balanced])","I'm hoping to play a shooter with role-playing elements that is well balanced, is there any you would recommend?",0,
"request(genres[role-playing, text adventure], specifier[shortest])",What's the shortest RPG text adventure you know of? I'm looking for something quick.,0,
"request(genres[role-playing, text adventure], specifier[shortest])",What's the shortest role-playing text adventure game that you've played?,0,
"request(genres[role-playing, text adventure], specifier[shortest])",What's the shortest role-playing text adventure game you know of?,0,
"request(genres[shooter], specifier[confusing])",Have you ever played a shooter game that you found confusing?,0,
"request(genres[shooter], specifier[confusing])",Are there any shooters that are just plain confusing?,0,
"request(genres[shooter], specifier[confusing])",What do you think is the most confusing shooter ever made?,0,
"request(genres[simulation, sport], specifier[poorly balanced])",Can you think of a poorly balanced sport simulation game?,0,
"request(genres[simulation, sport], specifier[poorly balanced])",What's the most poorly balanced sport simulator you know of?,0,
"request(genres[simulation, sport], specifier[poorly balanced])",Do you know of a sport simulator game out there that is rather poorly balanced?,0,
"request(genres[simulation, sport], specifier[simple])",Do you know any simple sports simulation games I could play?,0,
"request(genres[simulation, sport], specifier[simple])",Is there a sport simulator you know of that is simple?,0,
"request(genres[simulation, sport], specifier[simple])",Have you played any sports simulators lately that you would say are simple?,0,
"request(genres[sport], specifier[in-depth])",Are there any in-depth sports games that you've played lately?,0,
"request(genres[sport], specifier[in-depth])",Is there any sport game you played that you felt was really in-depth?,0,
"request(genres[sport], specifier[in-depth])",Can you recommend an in-depth sports game?,0,
"request(genres[text adventure], specifier[immersive])",Is the a text adventure game you know of that you thought was immersive?,0,
"request(genres[text adventure], specifier[immersive])",Have you ever encountered a really immersive text adventure game?,0,
"request(genres[text adventure], specifier[immersive])",Do you know of any immersive text adventure games?,0,
"request(has_linux_release[no], specifier[cheap])",Have you played any cheap games lately that don't have a Linux release?,0,
"request(has_linux_release[no], specifier[cheap])",Do you know of any cheap games without the unnecessary release for Linux?,0,
"request(has_linux_release[no], specifier[cheap])",Do you know any cheap games that aren't on Linux?,0,
"request(has_linux_release[no], specifier[favorite])",What's your favorite game that never got released on Linux?,0,
"request(has_linux_release[no], specifier[favorite])",What's your favorite game without a Linux release?,0,
"request(has_linux_release[no], specifier[favorite])",What's your favorite game that you wish had a Linux release but sadly doesn't?,0,
"request(has_linux_release[no], specifier[other])",Do you like any other games without a Linux release?,0,
"request(has_linux_release[no], specifier[other])",What other game do you wish was released for Linux?,1,haslinuxrelease
"request(has_linux_release[no], specifier[other])",So what other game without a Linux release have you played lately?,0,
"request(has_linux_release[yes], specifier[frightening])",Do you know of any frightening games that are available on Linux?,0,
"request(has_linux_release[yes], specifier[frightening])",Are there any really frightening games on Linux?,0,
"request(has_linux_release[yes], specifier[frightening])","I'm looking for a frightening game that I can play on Linux, is there one you could recommend to me?",0,
"request(has_mac_release[yes], specifier[addictive])",Do you know of any really addictive Mac games coming out soon?,0,
"request(has_mac_release[yes], specifier[addictive])",Do you know of any addictive games that have a Mac release?,0,
"request(has_mac_release[yes], specifier[addictive])",Do you know a really addictive game that has a Mac release?,0,
"request(has_multiplayer[no], specifier[epic])",What's the most epic single-player game that you played recently?,0,
"request(has_multiplayer[no], specifier[epic])",Can you recommend any single-player games with epic storylines?,0,
"request(has_multiplayer[no], specifier[epic])",What's one epic single-player game you can think of?,0,
"request(has_multiplayer[no], specifier[lengthy])",What's a lengthy single-player only game that you've played lately?,0,
"request(has_multiplayer[no], specifier[lengthy])",Can you think of any lengthy single-player games without a multiplayer component?,0,
"request(has_multiplayer[no], specifier[lengthy])",Have you played any lengthy single-player only games lately?,0,
"request(has_multiplayer[no], specifier[rewarding])",What's a rewarding single-player game you played?,0,
"request(has_multiplayer[no], specifier[rewarding])",What's a really rewarding single-player game without a multiplayer component?,0,
"request(has_multiplayer[no], specifier[rewarding])",Do you know of a rewarding single-player game?,0,
"request(has_multiplayer[yes], specifier[addictive])","Man, I just love addictive games, especially multiplayer ones. Do you have any good suggestions?",0,
"request(has_multiplayer[yes], specifier[addictive])",Have you ever encountered a multiplayer game that was truly addictive?,0,
"request(has_multiplayer[yes], specifier[addictive])","I'm looking for an addictive game with multiplayer, is there one you would recommend?",0,
"request(has_multiplayer[yes], specifier[dull])",What's the most dull multiplayer game you've ever played?,0,
"request(has_multiplayer[yes], specifier[dull])",Have you played a multiplayer game recently that was totally dull?,0,
"request(has_multiplayer[yes], specifier[dull])",So what's a game with multiplayer that you just found to be dull?,0,
"request(has_multiplayer[yes], specifier[fast-paced])",What's a really fast-paced game with multiplayer that you like to play?,0,
"request(has_multiplayer[yes], specifier[fast-paced])",Have you played any fast-paced multiplayer games lately?,0,
"request(has_multiplayer[yes], specifier[fast-paced])",Have you been playing any fast paced multiplayer games lately?,0,
"request(has_multiplayer[yes], specifier[interesting])",Do you know of any interesting games with multiplayer?,0,
"request(has_multiplayer[yes], specifier[interesting])",What is the most interesting multiplayer game that you have ever played?,0,
"request(has_multiplayer[yes], specifier[interesting])",Do you know any interesting multiplayer games I could try out?,0,
"request(platforms[Nintendo Switch], specifier[great looking])",What would you say is a great looking game for the Nintendo Switch?,0,
"request(platforms[Nintendo Switch], specifier[great looking])",What's a great looking game on the Nintendo Switch?,0,
"request(platforms[Nintendo Switch], specifier[great looking])",Which Nintendo Switch game is great looking in your opinion?,0,
"request(platforms[Nintendo], specifier[beautiful])",What's a really beautiful game from Nintendo?,0,
"request(platforms[Nintendo], specifier[beautiful])",What's a beautiful game you played for the Nintendo?,0,
"request(platforms[Nintendo], specifier[beautiful])",What do you think is the most beautiful Nintendo game?,0,
"request(platforms[PC], specifier[buggy])",Did you play any PC games that were overly buggy?,0,
"request(platforms[PC], specifier[buggy])",Do you remember any particularly buggy PC games? I'd like to know so I can avoid them.,0,
"request(platforms[PC], specifier[buggy])",Have you experienced any buggy PC games recently?,0,
"request(platforms[PC], specifier[expensive])",What's the most expensive PC game you have ever purchased?,0,
"request(platforms[PC], specifier[expensive])",What's the most expensive game for the PC that you know of?,0,
"request(platforms[PC], specifier[expensive])",What's the most expensive PC game you know of?,0,
"request(platforms[PC], specifier[funky])",Do you know of any funky PC games coming out soon?,0,
"request(platforms[PC], specifier[funky])","I'm looking for a really funky game on the PC, do you know of a good one you could tell me about?",0,
"request(platforms[PC], specifier[funky])",Can you recommend a funky PC game?,0,
"request(platforms[PC], specifier[immersive])",Are there any really immersive PC games you could recommend?,0,
"request(platforms[PC], specifier[immersive])",What is the most immersive game you have played on PC?,0,
"request(platforms[PC], specifier[immersive])",What's a game for the PC that you think is immersive?,0,
"request(platforms[PC], specifier[quick-to-learn])",Do you know any PC games that are quick-to-learn? I'm not looking for something too complex.,0,
"request(platforms[PC], specifier[quick-to-learn])",Can you recommend a quick-to-learn PC game that you tried recently?,0,
"request(platforms[PC], specifier[quick-to-learn])",What's a game you know of for the PC that's quick-to-learn?,0,
"request(platforms[PC], specifier[quirky])",What's a really quirky PC game that you played recently?,0,
"request(platforms[PC], specifier[quirky])",Are there any quirky PC games you like?,0,
"request(platforms[PC], specifier[quirky])",Do you know of any quirky PC games?,0,
"request(platforms[PC], specifier[scary])",What's a scary game for the PC that you played lately?,0,
"request(platforms[PC], specifier[scary])",What's a really scary game that you can get on the PC?,0,
"request(platforms[PC], specifier[scary])",What's a really scary PC game?,0,
"request(platforms[PlayStation], specifier[hardest])",What's the hardest game you know of on the PlayStation?,0,
"request(platforms[PlayStation], specifier[hardest])",What do you think is the hardest game available for the PlayStation?,0,
"request(platforms[PlayStation], specifier[hardest])",What's the hardest game on PlayStation?,0,
"request(platforms[PlayStation], specifier[other])",What other games are available on PlayStation?,0,
"request(platforms[PlayStation], specifier[other])",What other PlayStation game is there that you would recommend?,0,
"request(platforms[PlayStation], specifier[other])",Did you find any other PlayStation games that really stuck in your memory?,0,
"request(platforms[PlayStation], specifier[relaxing])","I'm looking for a relaxing game for the PlayStation, do you know of any?",0,
"request(platforms[PlayStation], specifier[relaxing])","I'm looking for a relaxing game for the PlayStation, is there any game like that you know about?",0,
"request(platforms[PlayStation], specifier[relaxing])",Are there any games you like to play on PlayStation that are relaxing?,0,
"request(platforms[PlayStation], specifier[revolting])","I was wondering, was there any game for the PlayStation that you just felt was revolting?",0,
"request(platforms[PlayStation], specifier[revolting])",What revolting games are on PlayStation anyway?,0,
"request(platforms[PlayStation], specifier[revolting])",Was there ever a PlayStation game you encountered that you felt was just revolting?,0,
"request(platforms[PlayStation], specifier[stunning])",What stunning games are available on PlayStation?,0,
"request(platforms[PlayStation], specifier[stunning])",Do you know of a PlayStation game that has really stunning graphics?,0,
"request(platforms[PlayStation], specifier[stunning])",What's a game you've played for the PlayStation that you thought was stunning?,0,
"request(platforms[PlayStation], specifier[weirdest])",So what's the weirdest game you got for the PlayStation?,0,
"request(platforms[PlayStation], specifier[weirdest])",What's the weirdest game you've ever played on PlayStation.,0,
"request(platforms[PlayStation], specifier[weirdest])",What's the weirdest game you ever played on the PlayStation?,0,
"request(platforms[Xbox], specifier[brand new])",What's your favorite brand new Xbox Game?,0,
"request(platforms[Xbox], specifier[brand new])",Do you remember the name of that brand new Xbox game?,0,
"request(platforms[Xbox], specifier[brand new])",Is there any brand new Xbox games you're interested in?,0,
"request(platforms[Xbox], specifier[complex])",Does the Xbox have any complex games?,0,
"request(platforms[Xbox], specifier[complex])",Have you played any complex games on the Xbox lately?,0,
"request(platforms[Xbox], specifier[complex])",What's the most complex game you ever played for the Xbox?,0,
"request(platforms[Xbox], specifier[easiest])",What do you think is the easiest game available for the Xbox?,0,
"request(platforms[Xbox], specifier[easiest])",What's the easiest game you've played on the Xbox?,0,
"request(platforms[Xbox], specifier[easiest])",What's the easiest game you know of on Xbox?,0,
"request(player_perspective[bird view], specifier[calming])",Have you ever played a game with a bird view perspective that you found to be calming?,0,
"request(player_perspective[bird view], specifier[calming])","I was hoping to find a calming game played from a bird view perspective, is there any one you would suggest?",0,
"request(player_perspective[bird view], specifier[calming])",What's a calming bird view game I can play to unwind?,0,
"request(player_perspective[first person], specifier[absorbing])",Have you played any first person perspective games lately that you would say are really absorbing?,0,
"request(player_perspective[first person], specifier[absorbing])",Can you recommend to me an absorbing first person game?,0,
"request(player_perspective[first person], specifier[absorbing])",What's a first person game you know of that you felt was absorbing?,0,
"request(player_perspective[first person], specifier[colorful])",Can you think of any good colorful first person games for my son?,0,
"request(player_perspective[first person], specifier[colorful])",Do you know of any colorful games that are played from the first person perspective?,0,
"request(player_perspective[first person], specifier[colorful])",Have you played any colorful games with a first person perspective lately?,0,
"request(player_perspective[first person], specifier[exhilarating])","Man, I love an exhilarating game. Do you know any first person games like that?",0,
"request(player_perspective[first person], specifier[exhilarating])","I'm looking for a game from a first person perspective that is really exhilarating, is there one you would recommend to me?",0,
"request(player_perspective[first person], specifier[exhilarating])",What's a first person video game that you feel was exhilarating?,0,
"request(player_perspective[first person], specifier[nauseating])",What's the most nauseating first person game you've played?,0,
"request(player_perspective[first person], specifier[nauseating])",Have you ever played a game with a first person perspective that you found to be nauseating?,0,
"request(player_perspective[first person], specifier[nauseating])",Has a first person perspective video game ever been nauseating for you?,0,
"request(player_perspective[first person], specifier[oldest])","I'm curious, what's the oldest game you ever played that had a first person perspective?",0,
"request(player_perspective[first person], specifier[oldest])",What's the oldest first person game you know of?,0,
"request(player_perspective[first person], specifier[oldest])",What's the oldest game with a first person perspective that you ever played?,0,
"request(player_perspective[first person], specifier[realistic])","In your opinion, what's the most realistic first person game?",0,
"request(player_perspective[first person], specifier[realistic])",What do you think is the most realistic first person game out there?,0,
"request(player_perspective[first person], specifier[realistic])",What's a first person game you think was realistic?,0,
"request(player_perspective[side view], specifier[easy])",What easy side view game do you think tops them all?,0,
"request(player_perspective[side view], specifier[easy])",Do you know any easy side view games I can play with my family?,0,
"request(player_perspective[side view], specifier[easy])",What's a nice and easy game with a side view perspective that you've played?,0,
"request(player_perspective[side view], specifier[other])",What was the other side view perspective game you played recently?,0,
"request(player_perspective[side view], specifier[other])",Do you know any other side view games?,0,
"request(player_perspective[side view], specifier[other])",Are there some other side view perspective games you would recommend?,0,
"request(player_perspective[third person], specifier[dynamic])",What's your favorite dynamic third person game?,0,
"request(player_perspective[third person], specifier[dynamic])","I'm interested in playing a dynamic game with a third person perspective, do you know of any?",0,
"request(player_perspective[third person], specifier[dynamic])",Do you know of any dynamic games that have a third person perspective?,0,
"request(player_perspective[third person], specifier[smart])",Do you know of a third person game with smart AI?,0,
"request(player_perspective[third person], specifier[smart])",Can you recommend any smart third person games?,0,
"request(player_perspective[third person], specifier[smart])",Have you played any smart third person games lately?,0,
"request(release_year[1990], specifier[challenging])",What's the most challenging game from 1990 that you have played?,0,
"request(release_year[1990], specifier[challenging])",Are there any challenging games from 1990?,0,
"request(release_year[1990], specifier[challenging])","In terms of challenging games, have you played any like that which came out in 1990?",0,
"request(release_year[2001], specifier[broken])",What's a game you know of from 2001 that was just plain broken?,0,
"request(release_year[2001], specifier[broken])",What do you think was the most broken game that came out in 2001?,0,
"request(release_year[2001], specifier[broken])",Do you know any broken games from 2001? I love old games with quirky flaws.,0,
"request(release_year[2004], specifier[fascinating])",Do you know any fascinating games from 2004?,0,
"request(release_year[2004], specifier[fascinating])","In 2004, was there any game released that you felt was fascinating?",0,
"request(release_year[2004], specifier[fascinating])",What's a game from 2004 that you thought was fascinating?,0,
"request(release_year[2005], specifier[underrated])",What's your favorite underrated game from 2005?,0,
"request(release_year[2005], specifier[underrated])",What do you think is the most underrated game that was released in 2005?,0,
"request(release_year[2005], specifier[underrated])","In your view, what's the most underrated game that was released in 2005?",0,
"request(release_year[2009], specifier[other])",Do you know any other games from 2009?,0,
"request(release_year[2009], specifier[other])",So what other game from 2009 did you want to talk about?,0,
"request(release_year[2009], specifier[other])",What other game from 2009 have you enjoyed?,0,
"request(release_year[2010], specifier[controversial])",Was there any controversial game that came out in 2010?,0,
"request(release_year[2010], specifier[controversial])",Is there a game from 2010 you can think of that was controversial?,0,
"request(release_year[2010], specifier[controversial])",What's a really controversial title from 2010?,0,
"request(release_year[2011], specifier[best looking])","In your opinion, what is the best looking game that came out in 2011?",0,
"request(release_year[2011], specifier[best looking])",What's the best looking game of 2011?,0,
"request(release_year[2011], specifier[best looking])",What would you say is the best looking game that came out in 2011?,0,
"request(release_year[2011], specifier[unusual])",Are there any unusual games from 2011 I should check out?,0,
"request(release_year[2011], specifier[unusual])",What's an unusual game you have played that came out in 2011?,0,
"request(release_year[2011], specifier[unusual])",Is there a game from 2011 that you felt was unusual?,0,
"request(release_year[2013], specifier[longest])",What's the longest game from 2013?,0,
"request(release_year[2013], specifier[longest])","Of the games released in 2013, which do you think was the longest?",0,
"request(release_year[2013], specifier[longest])",Do you know which game had the longest story mode in 2013?,0,
"request(release_year[2013], specifier[spectacular])",What's a spectacular release from 2013?,0,
"request(release_year[2013], specifier[spectacular])",Was there any game released in 2013 that you thought was spectacular?,0,
"request(release_year[2013], specifier[spectacular])",Is there any game released in 2013 that you felt was spectacular?,0,
"request(release_year[2014], specifier[disappointing])",Did you find any games in 2014 disappointing?,0,
"request(release_year[2014], specifier[disappointing])",What would you say is the most disappointing game from 2014 that you know of?,0,
"request(release_year[2014], specifier[disappointing])",Was there any game released in 2014 that you found to be disappointing?,0,
"request(release_year[2014], specifier[favorite])","Of all games released in 2014, which would you say is your most favorite?",0,
"request(release_year[2014], specifier[favorite])",What's your favorite game from 2014?,0,
"request(release_year[2014], specifier[favorite])",So what is your favorite game that came out in 2014?,0,
"request(release_year[2014], specifier[terrible])",Were there even any terrible games in 2014?,0,
"request(release_year[2014], specifier[terrible])",What's the most terrible game that you played in the year 2014?,0,
"request(release_year[2014], specifier[terrible])",What's a truly terrible game released in 2014 that you know of?,0,
"request(release_year[2017], specifier[bizarre])",Do you know of any bizarre games that came out in 2017?,0,
"request(release_year[2017], specifier[bizarre])",What do you think is the most bizarre game that came out in 2017?,0,
"request(release_year[2017], specifier[bizarre])",What's a really bizarre game from 2017?,0,
"request(release_year[2017], specifier[unfair])",Was there any game you played from 2017 that you would say was unfair?,0,
"request(release_year[2017], specifier[unfair])",Were any of the 2017 games you played just plain unfair?,0,
"request(release_year[2017], specifier[unfair])",Were there any unfair games from 2017?,0,
"request(release_year[2018], specifier[long])",What's a long game you played that came out in 2018?,0,
"request(release_year[2018], specifier[long])",Do you know any long games from 2018 I could invest a lot of time into?,0,
"request(release_year[2018], specifier[long])",What game from 2018 can you remember that has a nice long gameplay?,0,
