mr,ref,errors,incorrect slots
request(specifier[fascinating]),Are there any fascinating games you'd recommend?,0,
request(specifier[first]),What's the first game you ever played?,0,
request(specifier[first]),What was the first game you played this year?,0,
request(specifier[first]),What's the first video game you ever played?,0,
request(specifier[frustrating]),What's the most frustrating game you ever played?,0,
request(specifier[frustrating]),What's the most frustrating game you played recently?,0,
request(specifier[frustrating]),What's a game that you found frustrating?,0,
request(specifier[funniest]),What's the funniest game you've played?,0,
request(specifier[funniest]),What do you think is the funniest game of all time?,0,
request(specifier[funniest]),"I'm looking for something to make me laugh, what do you think is the funniest game you've ever played?",0,
request(specifier[interesting]),What's the most interesting game you've played this year?,0,
request(specifier[interesting]),Know of any interesting game that came out recently?,0,
request(specifier[interesting]),Have you played any interesting games lately?,0,
request(specifier[last]),What's the last video game you finished?,0,
request(specifier[last]),What is the last game you played?,0,
request(specifier[last]),What's the last video game you played?,0,
request(specifier[limiting]),What game have you played with a limiting storyline?,0,
request(specifier[limiting]),Are there any games you've found pretty limiting?,0,
request(specifier[limiting]),"Do you have an experience with a game, where you found the gameplay very limiting?",0,
request(specifier[mindless]),What's a nice mindless game you can think of that I could play to just unwind?,0,
request(specifier[mindless]),Have you ever played a video game that just felt mindless?,0,
request(specifier[mindless]),"I've been wanting to play something mindless, have you played any games like that lately?",0,
request(specifier[moving]),What's the most moving game that's stuck in your memory?,0,
request(specifier[moving]),Have you played any games you found particularly moving?,0,
request(specifier[moving]),What do you think is the most moving video game you've played?,0,
request(specifier[newest]),What's the newest game that you like?,0,
request(specifier[newest]),What's the newest game you plan on purchasing soon?,0,
request(specifier[newest]),What's the newest game that you've played lately?,0,
request(specifier[nostalgic]),What game would be a nostalgic one for you?,0,
request(specifier[nostalgic]),Is there a game that makes you feel nostalgic?,0,
request(specifier[nostalgic]),What would you say is the most nostalgic game you know of?,0,
request(specifier[oldest]),What is the oldest game that you fancy?,0,
request(specifier[oldest]),What's the oldest game you like?,0,
request(specifier[oldest]),What's the oldest video game you ever played?,0,
request(specifier[over-complicated]),Have you played any over-complicated games recently?,0,
request(specifier[over-complicated]),Have you ever encountered a game that just felt over-complicated?,0,
request(specifier[over-complicated]),Have you ever played a game that you just felt was way over-complicated?,0,
request(specifier[overrated]),What would you say was a really overrated game you played recently?,0,
request(specifier[overrated]),What game do you think is just totally overrated?,0,
request(specifier[overrated]),What is the most overrated game in your mind?,0,
request(specifier[poorly balanced]),What do you think is the most poorly balanced game you've ever played?,0,
request(specifier[poorly balanced]),What do you think is the most poorly balanced game you've played?,0,
request(specifier[poorly balanced]),Have you had a bad experience with any poorly balanced games recently?,0,
request(specifier[quick-to-learn]),Can you suggest a quick-to-learn game?,0,
request(specifier[quick-to-learn]),Is there a game you played lately that was quick-to-learn?,0,
request(specifier[quick-to-learn]),Do you know of any quick-to-learn games?,0,
request(specifier[realistic]),What recent game have you seen with the most realistic graphics?,0,
request(specifier[realistic]),Is there a game you can think of that you'd say is very realistic?,0,
request(specifier[realistic]),What's a good realistic game?,0,
request(specifier[revolting]),Have you ever played a game that you felt was just revolting?,0,
request(specifier[revolting]),What's a game that you couldn't help but find revolting?,0,
request(specifier[revolting]),Have you ever played a game that you just found revolting?,0,
request(specifier[rewarding]),Did you feel that any recent release was extremely rewarding to complete?,0,
request(specifier[rewarding]),Is their a video game you know of that felt very rewarding to play?,0,
request(specifier[rewarding]),What would you say was a nice rewarding game you've played?,0,
request(specifier[ridiculous]),What's the game with the most ridiculous storyline you've ever played?,0,
request(specifier[ridiculous]),Do you know any games that were just ridiculous?,0,
request(specifier[ridiculous]),Is there a game you know of that you just thought was ridiculous?,0,
request(specifier[sad]),Is there a game you played lately that you thought was pretty sad?,0,
request(specifier[sad]),What's a really sad game you've played?,0,
request(specifier[sad]),Have you played any sad video games recently?,0,
request(specifier[scary]),Have you ever played a game that you found scary?,0,
request(specifier[scary]),Have you ever played some really scary games?,0,
request(specifier[scary]),What's a good scary game?,0,
request(specifier[shocking]),Have you ever encountered a video game that you found shocking?,0,
request(specifier[shocking]),Did any games that you've played recently have particularly shocking endings?,0,
request(specifier[shocking]),"I'm wondering, have you played any games you found genuinely shocking?",0,
request(specifier[short]),Have you played any good short video games lately?,0,
request(specifier[short]),What's a nice short game I could play tonight?,0,
request(specifier[short]),Have you played any short games lately?,0,
request(specifier[surprising]),Did you find any games really surprising when you first tried them?,0,
request(specifier[surprising]),What's a game whose quality you found surprising?,0,
request(specifier[surprising]),What game turned out to be really surprising when you played it?,0,
request(specifier[tearjerking]),"I'm wondering, what would you say is the most tearjerking video game you know of?",0,
request(specifier[tearjerking]),Do you remember any video games that were somewhat tearjerking?,0,
request(specifier[tearjerking]),Have you ever played a game that was actually tearjerking?,0,
request(specifier[thrilling]),Have you played any thrilling video games lately?,0,
request(specifier[thrilling]),Are there any games you find really thrilling?,0,
request(specifier[thrilling]),Is there a game you played lately that you found thrilling?,0,
request(specifier[underrated]),"In your opinion, what was the most underrated game released last year?",0,
request(specifier[underrated]),What would you say is an underrated game that you really enjoyed though?,0,
request(specifier[underrated]),What game you've played do you think is really underrated?,0,
request(specifier[unfair]),What's a game you found rather unfair recently?,0,
request(specifier[unfair]),Have you ever played a video game that just felt plain unfair?,0,
request(specifier[unfair]),What's the first game that comes to your mind about which you felt it was just unfair?,0,
request(specifier[uninteresting]),What do you think is the most uninteresting video game you ever encountered?,0,
request(specifier[uninteresting]),Have you played any uninteresting games lately that I should avoid?,0,
request(specifier[uninteresting]),What's a recent game that you just felt was uninteresting?,0,
request(specifier[unusual]),Are there any unusual games you would recommend?,0,
request(specifier[unusual]),"I've been thinking about unusual games today, have you played one lately?",0,
request(specifier[unusual]),Have you played a video game lately that you found to be rather unusual?,0,
request(specifier[upcoming]),Are there any upcoming games you're interested in?,0,
request(specifier[upcoming]),Is there any upcoming game you're looking forward to?,0,
request(specifier[upcoming]),What upcoming video game are you looking forward to the most?,0,
request(specifier[visually impressive]),What's a visually impressive game that you played lately?,0,
request(specifier[visually impressive]),Have you encountered any visually impressive video games lately?,0,
request(specifier[visually impressive]),Can you suggest a really visually impressive game?,0,
request(specifier[weirdest]),What would you say was the weirdest game you've played?,0,
request(specifier[weirdest]),What do you think is the weirdest game you've ever played?,0,
request(specifier[weirdest]),What's the weirdest game you have ever heard of?,0,
request(specifier[worst looking]),What is the worst looking video game you ever encountered?,0,
request(specifier[worst looking]),What do you think is the worst looking video game that you know of?,0,
request(specifier[worst looking]),What's the worst looking game you've played recently?,0,
