HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.name,Input.release_year,Input.exp_release_date,Input.developer,Input.esrb,Input.rating,Input.genres,Input.player_perspective,Input.has_multiplayer,Input.platforms,Input.available_on_steam,Input.has_linux_release,Input.has_mac_release,Answer.feedback,Answer.utterance,Approve,Reject
3PKJ68EHDNH3KJTJ5GNMUKCYL9VHJ6,3BHRGUFAI9IPS59C0ANGVAZWPHXCSS,Write a conversational response about a video game based on its given attributes and context (type: recommend; attributes: 3),"Produce a dialogic utterance given specific attributes about a video game, such as its name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.08 ,Tue Apr 23 00:59:21 PDT 2019,2,BatchId:3617191;OriginalHitTemplateId:920937336;,3600,1296000,Fri May 03 00:59:26 PDT 2019,,,3L2IS5HSFB47UFOIAFRFUQEVBDWUNH,A33G1EEP3ZVBPL,Submitted,Thu May 02 13:11:43 PDT 2019,Thu May 02 13:12:47 PDT 2019,Fri May 17 13:12:47 PDT 2019,,,,64,100% (15/15),100% (15/15),100% (15/15),<b>Undertale</b>,,,Developer: <b>tobyfox</b>,,,,Player perspective: <b>bird view</b>,,,,,,,"Since you seem to be a fan of bird-view games by tobyfox, I thought you might like Undertale too. Have you heard about the game?",,
3PKJ68EHDNH3KJTJ5GNMUKCYL9VHJ6,3BHRGUFAI9IPS59C0ANGVAZWPHXCSS,Write a conversational response about a video game based on its given attributes and context (type: recommend; attributes: 3),"Produce a dialogic utterance given specific attributes about a video game, such as its name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.08 ,Tue Apr 23 00:59:21 PDT 2019,2,BatchId:3617191;OriginalHitTemplateId:920937336;,3600,1296000,Fri May 03 00:59:26 PDT 2019,,,3WOKGM4L7229WECEDND8K8QTKSB0O0,A2ITJNPW1LDUN7,Submitted,Fri Apr 26 09:47:40 PDT 2019,Fri Apr 26 09:48:08 PDT 2019,Sat May 11 09:48:08 PDT 2019,,,,28,100% (334/334),100% (334/334),100% (277/277),<b>Undertale</b>,,,Developer: <b>tobyfox</b>,,,,Player perspective: <b>bird view</b>,,,,,,"Note: i'd never really use Bird View in a conversation, i'd call it top down if anything. DOesn't really fit a conversation in my opinion.",Have you heard of  Undertale? It's this bird view game from Tobyfox,,
33P2GD6NRNDYV3Z1N1NYVZCB0YVHK5,3BHRGUFAI9IPS59C0ANGVAZWPHXCSS,Write a conversational response about a video game based on its given attributes and context (type: recommend; attributes: 3),"Produce a dialogic utterance given specific attributes about a video game, such as its name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.08 ,Tue Apr 23 00:59:21 PDT 2019,2,BatchId:3617191;OriginalHitTemplateId:920937336;,3600,1296000,Fri May 03 00:59:26 PDT 2019,,,30X31N5D64CKVJ2PC6RATJC7QNSAS4,A1WYMR7MGOCO83,Submitted,Mon Apr 29 21:13:09 PDT 2019,Mon Apr 29 21:14:42 PDT 2019,Tue May 14 21:14:42 PDT 2019,,,,93,100% (9/9),100% (9/9),100% (9/9),<b>Undertale</b>,,,Developer: <b>tobyfox</b>,,,"Genres: <b>adventure, indie, role-playing</b>",,,,,,,,"Undertale is an adventure, indie, role-playing from tobyfox that I'd recommend. Have you played it yet?",,
33P2GD6NRNDYV3Z1N1NYVZCB0YVHK5,3BHRGUFAI9IPS59C0ANGVAZWPHXCSS,Write a conversational response about a video game based on its given attributes and context (type: recommend; attributes: 3),"Produce a dialogic utterance given specific attributes about a video game, such as its name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.08 ,Tue Apr 23 00:59:21 PDT 2019,2,BatchId:3617191;OriginalHitTemplateId:920937336;,3600,1296000,Fri May 03 00:59:26 PDT 2019,,,3X4MXAO0BHA51H5FYMNXLY42XQXRW2,A33G1EEP3ZVBPL,Submitted,Thu May 02 13:16:49 PDT 2019,Thu May 02 13:17:53 PDT 2019,Fri May 17 13:17:53 PDT 2019,,,,64,100% (15/15),100% (15/15),100% (15/15),<b>Undertale</b>,,,Developer: <b>tobyfox</b>,,,"Genres: <b>adventure, indie, role-playing</b>",,,,,,,,"Since you seem to be a fan of adventure,indie, role games by tobyfox, I thought you might like Undertale too. Have you heard about the game?",,
3X55NP42EO1KCMPIL834NMX0B3JP37,3BHRGUFAI9IPS59C0ANGVAZWPHXCSS,Write a conversational response about a video game based on its given attributes and context (type: recommend; attributes: 3),"Produce a dialogic utterance given specific attributes about a video game, such as its name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.08 ,Tue Apr 23 00:59:21 PDT 2019,2,BatchId:3617191;OriginalHitTemplateId:920937336;,3600,1296000,Sun May 05 00:59:26 PDT 2019,,,34FNN24DCNVKLZ2HGGSI3UKMGUAY5O,A1MW021IG07IMF,Submitted,Sat May 04 22:56:03 PDT 2019,Sat May 04 22:56:48 PDT 2019,Sun May 19 22:56:48 PDT 2019,,,,45,100% (404/404),100% (404/404),100% (246/246),<b>Undertale</b>,,,,,,,,,,,Has a Linux release: <b>yes</b>,Has a Mac release: <b>yes</b>,,"And speaking of games that can be played on both a Mac and Linux, are you familiar with Undertale?",,
3X55NP42EO1KCMPIL834NMX0B3JP37,3BHRGUFAI9IPS59C0ANGVAZWPHXCSS,Write a conversational response about a video game based on its given attributes and context (type: recommend; attributes: 3),"Produce a dialogic utterance given specific attributes about a video game, such as its name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.08 ,Tue Apr 23 00:59:21 PDT 2019,2,BatchId:3617191;OriginalHitTemplateId:920937336;,3600,1296000,Sun May 05 00:59:26 PDT 2019,,,34Z02EIMITZP96HM94Z7EIWGJVOT01,A301K9WNOGYXYG,Submitted,Wed May 01 06:34:28 PDT 2019,Wed May 01 06:35:38 PDT 2019,Thu May 16 06:35:38 PDT 2019,,,,70,100% (3/3),100% (3/3),100% (3/3),<b>Undertale</b>,,,,,,,,,,,Has a Linux release: <b>yes</b>,Has a Mac release: <b>yes</b>,,"Don't you like games that have Linux, or was it Mac releases? Either way, there's this fun game called Undertale I think you'd like that runs on both.",,
3PKVGQTFIH56422LNL0JIBTSLM2RY7,3BHRGUFAI9IPS59C0ANGVAZWPHXCSS,Write a conversational response about a video game based on its given attributes and context (type: recommend; attributes: 3),"Produce a dialogic utterance given specific attributes about a video game, such as its name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.08 ,Tue Apr 23 00:59:21 PDT 2019,2,BatchId:3617191;OriginalHitTemplateId:920937336;,3600,1296000,Wed May 01 00:59:26 PDT 2019,,,336KAV9KYRESM2JUYXQK5NHAVM2Y29,A1WYMR7MGOCO83,Submitted,Tue Apr 30 03:16:47 PDT 2019,Tue Apr 30 03:22:02 PDT 2019,Wed May 15 03:22:02 PDT 2019,,,,315,100% (9/9),100% (9/9),100% (9/9),<b>Undertale</b>,,,,ESRB content rating: <b>E (for Everyone)</b>,,,,,,Available on Steam: <b>yes</b>,,,,Undertale is E (for Everyone) and is available on Steam. Have you ever played it before?,,
3PKVGQTFIH56422LNL0JIBTSLM2RY7,3BHRGUFAI9IPS59C0ANGVAZWPHXCSS,Write a conversational response about a video game based on its given attributes and context (type: recommend; attributes: 3),"Produce a dialogic utterance given specific attributes about a video game, such as its name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.08 ,Tue Apr 23 00:59:21 PDT 2019,2,BatchId:3617191;OriginalHitTemplateId:920937336;,3600,1296000,Wed May 01 00:59:26 PDT 2019,,,3OF2M9AATHAN88XPJPY7JQC6HHHKZY,A1MW021IG07IMF,Submitted,Wed Apr 24 21:52:47 PDT 2019,Wed Apr 24 21:53:56 PDT 2019,Thu May 09 21:53:56 PDT 2019,,,,69,100% (404/404),100% (404/404),100% (246/246),<b>Undertale</b>,,,,ESRB content rating: <b>E (for Everyone)</b>,,,,,,Available on Steam: <b>yes</b>,,,,"If you want a family friendly game that you can get for Steam, Undertale is there and has an E rating. Have you heard of it before?",,
3AJA9FLWSCJNBCI7S8EMFYLLSFTFIU,3BHRGUFAI9IPS59C0ANGVAZWPHXCSS,Write a conversational response about a video game based on its given attributes and context (type: recommend; attributes: 3),"Produce a dialogic utterance given specific attributes about a video game, such as its name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.08 ,Tue Apr 23 00:59:21 PDT 2019,2,BatchId:3617191;OriginalHitTemplateId:920937336;,3600,1296000,Mon May 06 20:47:49 PDT 2019,,,37ZHEEHM6X8YS0JCFOEPBK25YZB373,A1MW021IG07IMF,Submitted,Sat May 04 22:55:28 PDT 2019,Sat May 04 22:56:03 PDT 2019,Sun May 19 22:56:03 PDT 2019,,,,35,100% (404/404),100% (404/404),100% (246/246),<b>Undertale</b>,Year: <b>2015</b>,,,,,"Genres: <b>adventure, indie, role-playing</b>",,,,,,,,"A 2015 indie adventure RPG that I enjoyed is Undertale, are you familiar with it?",,
3D5G8J4N5AP2GNK8MZIUBRQGS96VTR,3VKSEF3049J8I0MRGYDA1FNPTTX0NG,A recommending conversational response about a video game (# attributes: 3),"Write a response in a conversational context, given specific attributes about a video game, such as its name, genre and available platforms","dialog, conversation, video game, attributes, writing, entertainment, chat, conversation, creative",$0.10 ,Tue May 07 19:22:25 PDT 2019,1,BatchId:3634584;OriginalHitTemplateId:920937336;,3600,432000,Wed May 08 19:22:25 PDT 2019,,,3137ONMDKHRKVRAAXBZF0OJVO3IEGU,A1ELPYAFO7MANS,Approved,Tue May 07 19:41:55 PDT 2019,Tue May 07 19:47:28 PDT 2019,Sun May 12 19:47:28 PDT 2019,Tue May 07 21:25:10 PDT 2019,,,333,100% (153/153),100% (153/153),100% (126/126),<b>Undertale</b>,Year: <b>2015</b>,,,,,"Genres: <b>adventure, indie, role-playing</b>",,,,,,,,"Since you like indie games, I wonder if you've tried the 2015 adventure role-playing game Undertale?",,
3FBEFUUYRKQCM16YFRJ54UKPM8LA6I,3BHRGUFAI9IPS59C0ANGVAZWPHXCSS,Write a conversational response about a video game based on its given attributes and context (type: recommend; attributes: 3),"Produce a dialogic utterance given specific attributes about a video game, such as its name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.08 ,Tue Apr 23 00:59:21 PDT 2019,2,BatchId:3617191;OriginalHitTemplateId:920937336;,3600,1296000,Wed May 01 00:59:26 PDT 2019,,,3NGI5ARFTURRO39XO6UNNDETYIMP13,A2ITJNPW1LDUN7,Submitted,Thu Apr 25 12:36:40 PDT 2019,Thu Apr 25 12:36:57 PDT 2019,Fri May 10 12:36:57 PDT 2019,,,,17,100% (334/334),100% (334/334),100% (277/277),<b>Uncharted 4: A Thief's End</b>,,,Developer: <b>Naughty Dog</b>,,,,,,Platform: <b>PlayStation</b>,,,,,Have you heard of Uncharted 4: A Thief's End? It's this playstation game from naughty dog,,
3FBEFUUYRKQCM16YFRJ54UKPM8LA6I,3BHRGUFAI9IPS59C0ANGVAZWPHXCSS,Write a conversational response about a video game based on its given attributes and context (type: recommend; attributes: 3),"Produce a dialogic utterance given specific attributes about a video game, such as its name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.08 ,Tue Apr 23 00:59:21 PDT 2019,2,BatchId:3617191;OriginalHitTemplateId:920937336;,3600,1296000,Wed May 01 00:59:26 PDT 2019,,,3PW9OPU9PR6VWW8RM8JBR060O1S12D,A1WYMR7MGOCO83,Submitted,Tue Apr 30 03:08:19 PDT 2019,Tue Apr 30 03:10:23 PDT 2019,Wed May 15 03:10:23 PDT 2019,,,,124,100% (9/9),100% (9/9),100% (9/9),<b>Uncharted 4: A Thief's End</b>,,,Developer: <b>Naughty Dog</b>,,,,,,Platform: <b>PlayStation</b>,,,,,I really enjoyed Uncharted 4: A Thief's End from Naughty Dog on Playstation.  Have you had a chance to play it?,,
3PN6H8C9R4BB7ALDPERJA0UH3U8DAD,3BHRGUFAI9IPS59C0ANGVAZWPHXCSS,Write a conversational response about a video game based on its given attributes and context (type: recommend; attributes: 3),"Produce a dialogic utterance given specific attributes about a video game, such as its name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.08 ,Tue Apr 23 00:59:21 PDT 2019,2,BatchId:3617191;OriginalHitTemplateId:920937336;,3600,1296000,Wed May 01 00:59:26 PDT 2019,,,3N8OEVH1FSCUZV4XF8FJA9MBIHXOOS,A1WYMR7MGOCO83,Submitted,Tue Apr 30 03:03:56 PDT 2019,Tue Apr 30 03:04:49 PDT 2019,Wed May 15 03:04:49 PDT 2019,,,,53,100% (9/9),100% (9/9),100% (9/9),<b>Uncharted 4: A Thief's End</b>,,,,,,"Genres: <b>action-adventure, shooter</b>",Player perspective: <b>third person</b>,,,,,,,If you're into third person action-adventure shooters then I'd recommend Uncharted 4: A Thief's End. Have you played it?,,
3PN6H8C9R4BB7ALDPERJA0UH3U8DAD,3BHRGUFAI9IPS59C0ANGVAZWPHXCSS,Write a conversational response about a video game based on its given attributes and context (type: recommend; attributes: 3),"Produce a dialogic utterance given specific attributes about a video game, such as its name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.08 ,Tue Apr 23 00:59:21 PDT 2019,2,BatchId:3617191;OriginalHitTemplateId:920937336;,3600,1296000,Wed May 01 00:59:26 PDT 2019,,,3TDXMTX3CCGUE3NQHHGK9C4YK9V6II,A1MW021IG07IMF,Submitted,Wed Apr 24 21:51:34 PDT 2019,Wed Apr 24 21:52:47 PDT 2019,Thu May 09 21:52:47 PDT 2019,,,,73,100% (404/404),100% (404/404),100% (246/246),<b>Uncharted 4: A Thief's End</b>,,,,,,"Genres: <b>action-adventure, shooter</b>",Player perspective: <b>third person</b>,,,,,,,"When it comes to third person action-adventure shooters, Uncharted 4: A Thief's End is a pretty famous one. Have you played it before?",,
3O2Y2UIUCQFEH78VSBZYSE0YKJIKFA,3BHRGUFAI9IPS59C0ANGVAZWPHXCSS,Write a conversational response about a video game based on its given attributes and context (type: recommend; attributes: 3),"Produce a dialogic utterance given specific attributes about a video game, such as its name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.08 ,Tue Apr 23 00:59:21 PDT 2019,2,BatchId:3617191;OriginalHitTemplateId:920937336;,3600,1296000,Sun May 05 00:59:26 PDT 2019,,,33F859I567Z0OKT17QF7KGPB0F2HBY,A33G1EEP3ZVBPL,Submitted,Thu May 02 12:24:25 PDT 2019,Thu May 02 12:26:29 PDT 2019,Fri May 17 12:26:29 PDT 2019,,,,124,100% (15/15),100% (15/15),100% (15/15),<b>Uncharted 4: A Thief's End</b>,Year: <b>2016</b>,,,,,,,,Platform: <b>PlayStation</b>,,,,,A Playstation 2016 game that I enjoyed was Uncharted 4: A Thief's End. Have you played it?,,
3O2Y2UIUCQFEH78VSBZYSE0YKJIKFA,3BHRGUFAI9IPS59C0ANGVAZWPHXCSS,Write a conversational response about a video game based on its given attributes and context (type: recommend; attributes: 3),"Produce a dialogic utterance given specific attributes about a video game, such as its name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.08 ,Tue Apr 23 00:59:21 PDT 2019,2,BatchId:3617191;OriginalHitTemplateId:920937336;,3600,1296000,Sun May 05 00:59:26 PDT 2019,,,3JRJSWSMQI7J1FYM2WSVHUUMKMCE3X,A1MW021IG07IMF,Submitted,Sat May 04 22:06:39 PDT 2019,Sat May 04 22:07:31 PDT 2019,Sun May 19 22:07:31 PDT 2019,,,,52,100% (404/404),100% (404/404),100% (246/246),<b>Uncharted 4: A Thief's End</b>,Year: <b>2016</b>,,,,,,,,Platform: <b>PlayStation</b>,,,,,"Uncharted 4: A Thief's End was one of my favorite 2016 games for the PlayStation, have you ever tried it?",,
3KL228NDMV7KV74Q3V5GAZ0ALYIKG9,3BHRGUFAI9IPS59C0ANGVAZWPHXCSS,Write a conversational response about a video game based on its given attributes and context (type: recommend; attributes: 3),"Produce a dialogic utterance given specific attributes about a video game, such as its name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.08 ,Tue Apr 23 00:59:21 PDT 2019,2,BatchId:3617191;OriginalHitTemplateId:920937336;,3600,1296000,Sun May 05 00:59:26 PDT 2019,,,31HQ4X3T3TW1R2TT9XG02XSILZBSLP,A1MW021IG07IMF,Submitted,Sat May 04 22:05:10 PDT 2019,Sat May 04 22:06:38 PDT 2019,Sun May 19 22:06:38 PDT 2019,,,,88,100% (404/404),100% (404/404),100% (246/246),<b>Uncharted 4: A Thief's End</b>,,,,ESRB content rating: <b>T (for Teen)</b>,,"Genres: <b>action-adventure, shooter</b>",,,,,,,,"While we're on the subject of action-adventure shooters that aren't absurdly violent, Uncharted 4: A Thief's End is only rated T by the ESRB. Have you ever played it?",,
