mr,ref
"confirm(name[Might & Magic: Heroes VI], player_perspective[bird view], platforms[PC])","Is this the Might & Magic: Heroes VI with a bird's eye view, released for the PC?"
"confirm(name[Might & Magic: Heroes VI], release_year[2011], platforms[PC])",Are you talking about the Might & Magic: Heroes VI that was released for the PC in 2011?
"confirm(name[Might & Magic: Heroes VI], genres[role-playing, turn-based strategy], player_perspective[bird view])",Is the Might & Magic: Heroes VI you're talking about the one that combined role-playing and turn-based strategy elements and was played from a bird view perspective?
"confirm(name[The Crew 2], genres[driving/racing], player_perspective[third person])","Are you talking about The Crew 2, the third person driving/racing game?"
"confirm(name[The Crew 2], exp_release_date[June 29, 2019], genres[driving/racing])","The Crew 2, the driving/racing game expected to be released June 29, 2019?"
"confirm(name[The Crew 2], genres[driving/racing], platforms[PlayStation])","Oh, The Crew 2, the driving/racing game for PlayStation, right?"
"confirm(name[The Crew 2], developer[Ivory Tower], platforms[PlayStation])","You mean The Crew 2, the PlayStation game developed by Ivory Tower?"
"confirm(name[The Crew 2], exp_release_date[June 29, 2019], developer[Ivory Tower])","Do you mean The Crew 2, to be released by Ivory Tower on June 29, 2019?"
"confirm(name[Silent Hill 2], genres[action-adventure, puzzle], platforms[Xbox])",Is this Silent Hill 2 you mentioned the action-adventure puzzle game that got released for the Xbox?
"confirm(name[Silent Hill 2], developer[Konami Computer Entertainment Tokyo], genres[action-adventure, puzzle])","Do you mean the Silent Hill 2 that was developed by Konami Computer Entertainment Tokyo, combining the action-adventure and puzzle genres?"
"confirm(name[Silent Hill 2], esrb[M (for Mature)], genres[action-adventure, puzzle])","Are you speaking about the Silent Hill 2, the action-adventure puzzle game that was given an M rating?"
"confirm(name[Silent Hill 2], release_year[2001], developer[Konami Computer Entertainment Tokyo])",Is the Silent Hill 2 the one that was made by Konami Computer Entertainment Tokyo in 2001?
"confirm(name[Silent Hill 2], esrb[M (for Mature)], platforms[Xbox])",Is the Silent Hill 2 that you are referring to the M rated game with an Xbox release?
"confirm(name[Ancient Cities], exp_release_date[December 1, 2019], developer[Uncasual Games])","Ancient Cities, the game in developement by Uncasual Games, with the December 1, 2019 release date?"
"confirm(name[Ancient Cities], developer[Uncasual Games], player_perspective[bird view])","Are you talking about Ancient Cities, the bird view perspective game developed by Uncasual Games?"
"confirm(name[Ancient Cities], developer[Uncasual Games], platforms[PC])","You mean Ancient Cities, the PC game developed by Uncasual Games, right?"
"confirm(name[Ancient Cities], developer[Uncasual Games], genres[simulation, strategy])","Ancient Cities, the strategy sim developed by Uncasual Games?"
"confirm(name[Ancient Cities], player_perspective[bird view], platforms[PC])","You must be referring to Ancient Cities, the bird's eye view game for the PC, is that right?"
