mr,ref,alignment
"name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]",There is a pub called Blue Spice near the Rainbow Vegetarian Café in the city centre. It serves English cuisine and is family-friendly.,(11: eattype) (22: name) (42: near) (73: area) (97: food) (119: familyfriendly)
"name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]",Blue Spice is a family-friendly pub that serves English cuisine. It is located in the city centre near Rainbow Vegetarian Café.,(0: name) (16: familyfriendly) (32: eattype) (48: food) (87: area) (104: near)
"name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]",A family-friendly English pub near Rainbow Vegetarian Café in the city centre is The Blue Spice.,(2: familyfriendly) (18: food) (26: eattype) (35: near) (66: area) (85: name)
"name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]",The Blue Spice is a family-friendly English pub near Rainbow Vegetarian Café in the city centre.,(4: name) (20: familyfriendly) (36: food) (44: eattype) (53: near) (84: area)
"name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]","Blue Spice pub, located in the city centre near the Rainbow Vegetarian Café, offers a family-friendly environment and serves English dishes.",(0: name) (11: eattype) (32: area) (53: near) (86: familyfriendly) (127: food)
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]","An English pub called Blue Spice is situated near Rainbow Vegetarian Café at Riverside. However, not suitable for families.",(3: food) (11: eattype) (22: name) (50: near) (77: area) (114: familyfriendly)
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]","The Blue Spice is a pub located by the riverside, near the Rainbow Vegetarian Café. It is not child friendly.",(4: name) (20: eattype) (39: area) (60: near) (94: familyfriendly)
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]","Near the Rainbow Vegetarian Café, by the riverside is a pub called The Blue Spice. It is not suitable for families.",(9: near) (42: area) (56: eattype) (72: name) (106: familyfriendly)
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]",Blue Spice is a pub located near the Rainbow Vegetarian Café. It is not family friendly.,(0: name) (16: eattype) (37: near) (72: familyfriendly)
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]",Next to the river not far from Rainbow Vegetarian Café is a no children pub Blue Spice which provides English breakfast.,(12: area) (31: near) (63: familyfriendly) (72: eattype) (76: name) (102: food)
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]",Near the river is a pub called The Blue Spice.  It is located near the Rainbow Vegetarian Café and is not family-friendly.,(9: area) (20: eattype) (35: name) (71: near) (105: familyfriendly)
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]",There is a riverside pub near the Rainbow Vegetarian Café called Blue Spice.  It serves English food but is not family-friendly.,(11: area) (21: eattype) (34: near) (65: name) (88: food) (111: familyfriendly)
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]",A pub called Blue Spice is situated near Rainbow Vegetarian Café at Riverside. Not family-friendly but serves English food.,(2: eattype) (13: name) (41: near) (68: area) (83: familyfriendly) (111: food)
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]","Blue Spice has a no children policy, it is a pub sat next to the river that provides English breakfast not far from Rainbow Vegetarian Café.",(0: name) (20: familyfriendly) (45: eattype) (66: area) (86: food) (117: near)
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]",Blue Spice is a pub serving English food.  You'll find it alongside the river near to the Rainbow Vegetarian Café.  It isn't a family-friendly establishment.,(0: name) (16: eattype) (28: food) (73: area) (91: near) (127: familyfriendly)
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]",The Blue Spice is not a family-friendly pub located near the Rainbow Vegetarian Café just off the river.,(4: name) (24: familyfriendly) (40: eattype) (61: near) (98: area)
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",The Blue Spice is a pub that serves English cuisine.  It is a kid friendly pub located on the riverside near the Rainbow Vegetarian Café.,(4: name) (36: food) (61: familyfriendly) (74: eattype) (94: area) (113: near)
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]","Near the Rainbow Vegetarian Café, area riverside, the Blue Spice pub, serves English food and has a family friendly atmosphere",(9: near) (40: area) (56: name) (65: eattype) (80: food) (100: familyfriendly)
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",Blue Spice is a family-friendly pub providing English food. It is located near the Rainbow Vegetarian Café in Riverside.,(0: name) (16: familyfriendly) (32: eattype) (46: food) (84: near) (111: area)
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",In the riverside area you can find a family friendly pub named Blue Spice.  The serve English food and are located near Rainbow Vegetarian Café.,(7: area) (37: familyfriendly) (53: eattype) (63: name) (86: food) (120: near)
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",In the riverside area near Rainbow Vegetarian Café you can enjoy English food at the pub Blue Spice in a child friendly atmosphere.,(7: area) (27: near) (65: food) (85: eattype) (89: name) (105: familyfriendly)
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]","The Blue Spice is a child-friendly, English pub located in riverside area, near Rainbow Vegetarian Café.",(4: name) (20: familyfriendly) (37: food) (44: eattype) (60: area) (82: near)
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",Blue Spice is a kid friendly English pub near Rainbow Vegetarian Café in Riverside.,(0: name) (16: familyfriendly) (29: food) (37: eattype) (46: near) (73: area)
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",There is a children friendly pub Blue Spice located on the riverside near Rainbow Vegetarian Café that provides English food.,(11: familyfriendly) (29: eattype) (33: name) (59: area) (74: near) (112: food)
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]","There is a pub that provides food and is children friendly, near Rainbow Vegetarian Café and the riverside and is called Blue Spice.",(11: eattype) (41: familyfriendly) (66: near) (98: area) (122: name)
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",Blue Spice is located near Rainbow Vegetarian Café in the riverside area and is a kid friendly pub that serves English food.,(0: name) (27: near) (58: area) (82: familyfriendly) (95: eattype) (111: food)
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]","Situated near the Rainbow Vegetarian Café in the riverside area of the city, The Blue Spice pub, is ideal if you fancy traditional English food whilst out with the kids.",(18: near) (49: area) (82: name) (92: eattype) (133: food) (164: familyfriendly)
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]","Blue Spice, a pub specializing in English eatery, is located in riverside near Rainbow Vegetarian Café and is known to be very kid friendly.",(0: name) (14: eattype) (35: food) (66: area) (81: near) (127: familyfriendly)
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",Blue Spice is located on the riverside near the Rainbow Vegetarian Café.  This pub is kid friendly and serves English cuisine.,(0: name) (29: area) (48: near) (78: eattype) (85: familyfriendly) (110: food)
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]","Situated near the Rainbow Vegetarian Café in the riverside area, is the family friendly pub Blue Spice. It serves English food.",(18: near) (49: area) (72: familyfriendly) (88: eattype) (93: name) (116: food)
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",In riverside there is a pub near Rainbow Vegetarian Café called Blue Spice. It is kid friendly with English food.,(3: area) (24: eattype) (33: near) (64: name) (82: familyfriendly) (101: food)
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]","There is a child friendly English pub called the Blue Spice by the riverside, near the Rainbow Vegetarian Café.",(11: familyfriendly) (26: food) (34: eattype) (49: name) (67: area) (88: near)
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",Blue Spice is a child-friendly pub near Rainbow Vegetarian Café in the riverside area.,(0: name) (16: familyfriendly) (31: eattype) (40: near) (71: area)
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",Blue Spice is an English pub located near Rainbow Vegetarian Café on the riverside.  Kids are welcome.,(0: name) (17: food) (25: eattype) (42: near) (73: area) (84: familyfriendly)
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",Located at riverside near Rainbow Vegetarian Café stands children-friendly pub with English food called Blue Spice.,(11: area) (26: near) (57: familyfriendly) (75: eattype) (84: food) (104: name)
